SYMBOL,NAME,PRICE(USD)
BTC,Bitcoin,65110.4112282078176361
ETH,Ethereum,3506.9689274276949700
USDT,Tether,1.0014619149028730
BNB,BNB,419.8617736428793076
SOL,Solana,131.8651217349568635
XRP,XRP,0.6512254610172176
USDC,USDC,1.0006037556115369
ADA,Cardano,0.7770021602649638
DOGE,Dogecoin,0.1613327166955185
AVAX,Avalanche,43.1511400781515719
SHIB,Shiba Inu,0.0000261817917553
DOT,Polkadot,9.8699276033454029
TRX,TRON,0.1410893164492448
LINK,Chainlink,20.4437820317685240
MATIC,Polygon,1.0943518098427211
WBTC,Wrapped Bitcoin,65022.0718130007841902
BCH,Bitcoin Cash,462.4387925211407858
UNI,Uniswap,12.4595150800482163
LTC,Litecoin,90.1495212759245899
ICP,Internet Computer,13.2917260858912997
DAI,Multi Collateral DAI,1.0009029574977531
FIL,Filecoin,9.9864034519675463
ETC,Ethereum Classic,34.0185758336622148
NEAR,NEAR Protocol,4.5169222814135263
LEO,UNUS SED LEO,4.8356302186806906
STX,Stacks,3.0814545150628751
XLM,Stellar,0.1477041253316601
VET,VeChain,0.0502622638272857
CRO,Crypto.com Coin,0.1420946459544719
OKB,OKB,57.5301383024798901
ATOM,Cosmos,12.4985359668631969
GRT,The Graph,0.3142373547129291
LDO,Lido DAO,3.3086040616823277
INJ,Injective,39.9398004143233730
RNDR,Render Token,7.5335099624447421
XMR,Monero,147.0485382405690754
THETA,THETA,2.3706820304415432
BTCB,Bitcoin BEP2,42794.8577734884264959
BSV,Bitcoin SV,108.2900778928623456
ALGO,Algorand,0.2526873413126885
AR,Arweave,30.3466952376784423
MKR,Maker,2099.6725345008158970
RUNE,THORChain,5.6021485732243783
FLOW,Flow,1.2483818407858412
FTM,Fantom,0.6494448844377995
HBAR,Hedera Hashgraph,0.1134811217956879
EGLD,MultiversX,68.4851501950025375
AAVE,Aave,112.2377765695677400
SAND,The Sandbox,0.6892323376530726
FET,Fetch.ai,1.8635717663905097
QNT,Quant,123.6385294623282800
AXS,Axie Infinity,10.6661148676618751
MINA,Mina,1.3539196528170786
XTZ,Tezos,1.4413003497683917
HNT,Helium,8.5961451256188726
CHZ,Chiliz,0.1530546127380795
GALA,Gala,0.0467869332746643
TUSD,TrueUSD,1.0012608711765118
MANA,Decentraland,0.6673076737637401
NEO,Neo,17.7677360385944984
KCS,KuCoin Token,12.9713818860887056
EOS,EOS,1.0903715753809777
AGIX,SingularityNET,0.9357840013896416
CFX,Conflux,0.3106870706144574
ROSE,Oasis Network,0.1678199268456592
WOO,WOO,0.5966760913724893
KAVA,Kava,1.0003777834338761
KLAY,Klaytn,0.3088529463496845
IOTA,IOTA,0.3351272578714688
WEMIX,WEMIX,2.8761564014366672
GNO,Gnosis,402.6246257702041317
AKT,Akash Network,4.4760963550047987
SNX,Synthetix,4.3851145570453214
XEC,eCash,0.0000485724521211
CRV,Curve DAO Token,0.7351377305768089
CAKE,PancakeSwap,3.3595775499585812
NEXO,Nexo,1.4246894141814541
PENDLE,Pendle,3.2032613116202046
ENJ,Enjin Coin,0.5519292601342654
COMP,Compound,91.8264961586875035
HOT,Holo,0.0041264744603686
FTT,FTX Token,2.1528100529116290
SUPER,SuperVerse,1.4465865888885982
FXS,Frax Share,9.0407174810205541
DYDX,dYdX,3.7555038338786983
CKB,Nervos Network,0.0153958485884010
1INCH,1inch Network,0.5843401054177415
GLM,Golem,0.6511891007422924
RPL,Rocket Pool,31.6275146921918296
BTG,Bitcoin Gold,36.0049363759562099
OCEAN,Ocean Protocol,1.1033138274709706
TWT,Trust Wallet Token,1.4697633270195106
QTUM,Qtum,5.7365635487743029
IOTX,IoTeX,0.0624709578824848
CELO,Celo,1.1066478251024549
SKL,SKALE,0.1115374015866753
XDC,XinFin Network,0.0467883809129781
ZIL,Zilliqa,0.0318251385876467
SC,Siacoin,0.0096230324670759
CSPR,Casper,0.0454413470653704
